fips,City FIPS,City Name,State,Total Properties,Depth_1in100_NOAA,Depth_1in100_FSF2023,Depth_1in100_FSF2053,RP_1in10_FSF2023,RP_1in20_FSF2023,RP_1in50_FSF2023,RP_1in100_FSF2023,RP_1in10_FSF2053,RP_1in20_FSF2053,RP_1in50_FSF2053,RP_1in100_FSF2053,Properties in SFHA,"Properties in FSF 100 Year Zone, 2023","Properties in FSF 100 Year Zone, 2053",Properties in FSF 100 Year Zone but Not in FEMA SFHA,"Properties in FSF 100 Year Zone but Not in FEMA SFHA, Primary Flood Source is Pluvial",Properties in FEMA SFHA but not FSF 100 Year Zone
4277584,4277584,Troy,pa,574,53,84.8,87.8,3.3,7,9,15,3,6,8,13,26,190,193,164,145,0
4277656,4277656,Trucksville,pa,1116,61,94.4,96.9,4.4,8.7,12.6,19.9,4.1,7.7,11.6,17.9,31,127,128,96,75,0
4277704,4277704,Trumbauersville,pa,391,70,120.6,125.3,3,6,9,13,3,5,8,11,0,8,21,8,8,0
4277744,4277744,Tullytown,pa,792,77,119.6,124.6,4.8,8,11.8,19.5,4,7,10,16.8,36,148,178,123,52,11
4277784,4277784,Tunkhannock,pa,773,55.3,95.9,98.5,3,6,8,12.3,3,5,7,11.3,48,229,235,181,57,0
4277808,4277808,Tunnelhill,pa,258,69,74.8,77.1,11,25,39,72,10,22,35,63,0,0,0,0,0,0
4277832,4277832,Turbotville,pa,305,58,102.9,105.6,3,5,7,10,3,5,6,9,0,12,12,12,12,0
4277912,4277912,Turtle Creek,pa,2303,65,94.1,96.9,4,8,12.4,20.8,3,7,10.4,18.8,0,798,796,798,153,0
4277968,4277968,Tuscarora,pa,263,73,124.9,127.9,3,6,8,13,3,5,7,12,0,10,10,10,10,0
4278008,4278008,Twilight,pa,228,64,85.9,88.3,5.2,10.5,16.7,29.3,4.2,9.5,14.7,26.2,21,58,61,37,31,0
4278115,4278115,Tyler Run,pa,525,70,122.1,125.1,2,5,7,11,2,4,6,10,8,59,59,51,51,0
4278120,4278120,Tylersburg,pa,127,65,79.8,82.9,9,18,26,44,7,15,22,38,0,6,7,6,6,0
4278144,4278144,Tylersville,pa,142,68,104.6,107.5,4,8,11,18,3,7,10,16,6,17,18,12,11,1
4278168,4278168,Tyrone,pa,2270,67,93,95.7,4,9,14,26,4,8,12,23,255,1221,1254,966,564,0
4278186,4278186,Tyrone Forge,pa,22,67,93,95.6,4,9,14,26,4,8,12,23,9,17,18,8,0,0
4278240,4278240,Ulysses,pa,327,61,84.9,88.1,4,8.8,13.7,26.3,3.1,7.7,11.7,22.6,18,72,74,54,54,0
4278448,4278448,Union City,pa,1412,66,77.8,80.6,10.4,21,30.4,51.4,9,18,26,44.4,138,257,257,139,74,20
4278456,4278456,Union Dale,pa,183,59,105.5,109,3,5,7,11.5,2.5,4,6,10,5,15,15,10,10,0
4278472,4278472,Union Deposit,pa,169,69,109.2,111.7,4,7,10,16,3,6,9,15,35,29,30,1,1,7
4278528,4278528,Uniontown,pa,4679,63,85.4,87.5,5.1,10.4,15.7,27,4.1,9.4,14.6,24,140,401,403,265,204,4
4278608,4278608,Unionville,pa,283,66,78.1,81,9,20.1,28.6,49.7,8,17.1,24.6,42.7,1,24,25,23,23,0
4278616,4278616,Unionville,pa,148,65,98.2,100.9,3,7,11,19,3,7,10,17,15,62,63,47,36,0
4278624,4278624,Unionville,pa,236,72.3,132.4,137.1,2.3,4.7,6.7,9.3,2,3.7,5.7,8.3,0,15,15,15,15,0
4278698,4278698,University of Pittsburgh Bradford,pa,24,62,76.4,79.2,8,15.1,23.1,42.1,7,13.1,20.1,36.1,1,10,10,9,0,0
4278700,4278700,University of Pittsburgh Johnstown,pa,13,69,81.7,84.1,8,17,27,49,7,15,24,43,0,1,1,1,1,0
4278712,4278712,Upland,pa,1007,73,119,123.8,4,7,10,15,3,6,9,13,142,265,268,159,152,36
